Dst Port,Protocol,Flow Duration,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Fwd PSH Flags,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,Down/Up Ratio
443,3,4.069726920795215,999.1135651111606,263.485401121609,333.3677116644839,596.7064057702362,11.49222880954167,313.30807019465436,1616.7903295005826,43.1916838713099,30.453929117957312,0,0,0,1,2.156666500150739
21,3,100.46373416631143,744.1832529176636,119.89869836378375,368.802074429805,1681.4009151612495,39.5620459317853,298.36338528114914,624.0648463721802,80.85620312246536,37.1435453630514,0,0,0,2,0.04522997757268721
443,1,114.07309553295816,876.9447547028841,48.77471766541905,72.21450796157221,196.76521798372417,63.49932549394451,147.6463164665364,152.94998796975267,210.0781811942931,25.65671098721014,0,0,0,1,1.643432002331622
80,3,275.99799124964994,1529.46131910164,1.859405536870024,2073.0542591048797,1220.7774021004348,22.299923299800145,348.051283533254,139.21192616437307,65.14823494768777,18.880127508503758,0,0,0,1,0.4409805778495564
80,2,61.515987066263186,3155.0172294383688,156.3882433319284,125.60094453511242,863.6196230962189,48.364199318021434,473.55926529404104,391.3948585222614,50.89102822526822,12.529112614984436,0,0,0,1,0.2911709216386615
443,3,59.14014426951333,2695.548572356587,89.96904996210623,261.79465738285774,961.8199237791213,0.03265391535563257,1799.8042730392433,684.9617125042233,41.258966774194974,192.17330496899547,0,0,1,1,0.23900993049823827
443,2,39.44088507899537,202.79912996684553,241.5372798819289,728.4168288547886,1970.3668811345262,226.70709906103198,108.51744039177447,52.406407455943345,29.472098887900877,2.188750690916864,0,0,0,1,0.40246256390106794
443,2,3.0437774111548483,875.7735740666229,241.2724964864514,133.98361006852215,34.7956558988806,36.69628930296764,582.081878870584,1019.8727251896021,21.159775221761198,8.275837084487204,0,0,0,1,2.638995260934988
80,1,15.780689904849595,2041.6956647249233,102.42868936876957,358.1658397705587,1973.887248326956,361.7286023169205,801.4292636407147,218.35175456944444,3.9005622969657554,34.757257859842355,0,0,0,1,0.05050067808503582
53,1,305.490713551985,1330.352117274438,144.2555237372414,279.3989953368619,1183.2674243286324,86.15528729548392,509.14752781636605,1165.310564194353,167.7504201733708,4.505847119603111,0,0,2,2,2.3902978232473457
443,3,34.53321006619675,311.33392834514234,40.35759646481314,211.43371024306643,408.4264401400036,2.8053128736718764,90.93700270497823,462.2855987683194,5.948609465656221,21.39298276116641,0,0,0,1,0.06249611852513247
80,1,15.404177286244147,488.12570206413983,331.8793737541587,891.1398732035781,237.8349324356022,87.05596109880605,396.5261085490641,511.8929977771056,259.3963171245612,14.794791680385236,0,0,0,1,0.7495749547272275
80,3,95.2075478381186,845.776349647066,80.8952472253146,109.51469125843634,1706.192708531261,4.3772868665096905,44.832164293081036,1145.8181508580099,178.0997908640543,45.812290148062466,0,0,0,1,0.6779491852062763
